subject,text,sentiment,priority,category
"Consulta sobre producto","Buenas tardes, estoy interesado en el modelo X200, ¿podrían facilitarme sus características técnicas detalladas? Gracias.","neutro","media","solicitud"
"Oferta limitada: Descuento 50%","Aprovecha nuestra promoción exclusiva, solo por hoy 50% de descuento en toda la tienda. ¡No pierdas esta oportunidad!","positivo","media","comercial"
"Error en factura","Hola, he recibido mi factura mensual y veo cargos que no reconozco. Solicito una revisión urgente del documento.","negativo","alta","queja"
"Confirmación de inscripción","Estimado usuario, confirmamos que tu inscripción al curso de marketing digital ha sido exitosa. ¡Bienvenido!","positivo","baja","otro"
"Agradecimiento por soporte","Muchas gracias al equipo técnico por la rápida solución al problema con mi cuenta. Estoy muy satisfecho con el servicio recibido.","positivo","baja","otro"
"Problemas con inicio de sesión","Llevo toda la mañana intentando acceder a mi cuenta y el sistema no me reconoce. Necesito ayuda urgente.","negativo","alta","queja"
"Actualización de datos personales","Hola, quisiera actualizar mi dirección postal en mi perfil. ¿Podrían indicarme cómo hacerlo? Gracias anticipadas.","neutro","media","solicitud"
"Invitación evento lanzamiento","Nos complace invitarte al evento exclusivo de lanzamiento de nuestro nuevo producto este próximo viernes. Confirma tu asistencia.","positivo","media","comercial"
"Consulta sobre disponibilidad","Buenos días, ¿tienen disponible el libro 'Marketing Estratégico' en versión digital? Agradecería una respuesta pronto.","neutro","media","solicitud"
"Calidad excepcional","El producto superó completamente mis expectativas, la calidad es excelente y llegó antes de tiempo. Muy recomendable.","positivo","baja","otro"
"Reclamación por servicio técnico","Es la tercera vez que solicito asistencia técnica y aún no han solucionado mi problema. Estoy muy decepcionado con el servicio.","negativo","alta","queja"
"Sorteo especial aniversario","Participa en nuestro sorteo aniversario y gana fabulosos premios. Inscripción gratuita solo esta semana.","positivo","media","comercial"
"Actualización términos del servicio","Informamos que nuestros términos y condiciones han cambiado. Por favor, revisa los detalles en el siguiente enlace.","neutro","baja","otro"
"Incidencia grave con el servicio de internet","Buenas tardes, llevo dos días sin servicio de internet en mi domicilio. He intentado contactar varias veces con atención al cliente pero no me dan una respuesta concreta ni una fecha aproximada de solución. Trabajo desde casa y necesito urgentemente la conexión restablecida. Espero su respuesta inmediata y una solución real. Gracias.","negativo","alta","queja"
"Agradecimiento por excelente atención","Quisiera expresar mi más sincero agradecimiento al equipo de atención al cliente, especialmente a Lucía, quien me atendió ayer de forma rápida, amable y eficaz. Lograron resolver mi inconveniente en pocos minutos, algo que realmente valoro. Seguiré recomendando sus servicios sin duda alguna.","positivo","baja","otro"
"Promoción especial para clientes preferentes","Estimado cliente, debido a tu fidelidad queremos ofrecerte una promoción exclusiva: un 20% de descuento adicional sobre todos los productos de nuestra nueva colección. Esta promoción estará vigente únicamente durante esta semana. Aprovecha y visita nuestra web o cualquiera de nuestras tiendas físicas para hacer válida esta oferta especial.","positivo","media","comercial"
"Queja por retraso continuo en la entrega","Buenos días, llevo tres pedidos consecutivos con retrasos significativos. En cada ocasión he recibido explicaciones vagas y sin compromiso firme de solución. Mi último pedido tenía fecha de entrega para ayer y aún no ha llegado, causando inconvenientes graves en mis actividades. Exijo una solución inmediata y compensación por los inconvenientes generados.","negativo","alta","queja"
"Felicidades por la rápida gestión de incidencia","Buenos días, ayer reporté un problema con mi dispositivo y apenas unas horas después vuestro equipo técnico ya lo había solucionado completamente. Estoy impresionado por la velocidad y eficiencia del servicio técnico prestado. Muchas gracias por la excelente atención y el trato recibido.","positivo","baja","otro"
